rule_id,prefix,years,n_years,contiguous,min_yoy,mean_yoy,last_yoy,headline_last,yoy_detail
H11,H,"2017,2018,2019,2020,2021",5,1,0.087,0.5352,1.0,By invitation only.,2017->2018:0.1124;2018->2019:0.087;2019->2020:0.9412;2020->2021:1.0
H12,H,"2017,2018,2019,2020,2021",5,1,0.0812,0.5272,1.0,Identify yourself.,2017->2018:0.0812;2018->2019:0.1127;2019->2020:0.9151;2020->2021:1.0
H13,H,"2017,2018,2019,2020,2021",5,1,0.0597,0.4768,0.9597,Don’t abuse ARENA access.,2017->2018:0.0952;2018->2019:0.0597;2019->2020:0.7928;2020->2021:0.9597
H14,H,"2017,2018,2019,2020,2021",5,1,0.0171,0.3624,1.0,Don’t mess with POWER CELLS.,2017->2018:0.0171;2018->2019:0.0215;2019->2020:0.411;2020->2021:1.0
H15,H,"2017,2019,2020,2021",4,0,0.2927,0.6463,1.0,Don’t bang on the glass.,2017->2019:None;2019->2020:0.2927;2020->2021:1.0
H16,H,"2019,2020,2021",3,1,0.015,0.4787,0.9423,Be careful what you interact with.,2019->2020:0.015;2020->2021:0.9423
H101,H,"2022,2023",2,1,0.8958,0.8958,0.8958,Be a good person.,2022->2023:0.8958
H102,H,"2022,2023",2,1,0.9947,0.9947,0.9947,Enter only 1 ROBOT.,2022->2023:0.9947
H103,H,"2022,2023",2,1,1.0,1.0,1.0,"Humans, stay off the FIELD until green.",2022->2023:1.0
H104,H,"2022,2023",2,1,1.0,1.0,1.0,Never step over the guardrail.,2022->2023:1.0
H105,H,"2022,2023",2,1,0.9943,0.9943,0.9943,Asking other teams to throw a MATCH – not cool.,2022->2023:0.9943
H106,H,"2022,2023",2,1,0.9889,0.9889,0.9889,Letting someone coerce you in to throwing a MATCH – also not cool.,2022->2023:0.9889
H107,H,"2022,2023",2,1,0.0559,0.0559,0.0559,Throwing your own MATCH is bad,2022->2023:0.0559
H108,H,"2022,2023",2,1,0.0994,0.0994,0.0994,Don’t abuse ARENA access.,2022->2023:0.0994
H201,H,"2022,2023",2,1,0.9329,0.9329,0.9329,Egregious or exceptional violations.,2022->2023:0.9329
H202,H,"2022,2023",2,1,0.5306,0.5306,0.5306,"1 STUDENT, 1 Head REFEREE.",2022->2023:0.5306
H301,H,"2022,2023",2,1,0.3049,0.3049,0.3049,Be prompt.,2022->2023:0.3049
H302,H,"2022,2023",2,1,0.9752,0.9752,0.9752,Teams may not enable their ROBOTS on the FIELD.,2022->2023:0.9752
H303,H,"2022,2023",2,1,0.9751,0.9751,0.9751,You can’t bring/use anything you want.,2022->2023:0.9751
H304,H,"2022,2023",2,1,0.9333,0.9333,0.9333,By invitation only.,2022->2023:0.9333
H305,H,"2022,2023",2,1,1.0,1.0,1.0,Show up to your MATCHES.,2022->2023:1.0
H306,H,"2022,2023",2,1,0.7732,0.7732,0.7732,Identify yourself.,2022->2023:0.7732
H307,H,"2022,2023",2,1,1.0,1.0,1.0,Plug in to/be in your DRIVER STATION.,2022->2023:1.0
H308,H,"2022,2023",2,1,1.0,1.0,1.0,Don’t bang on the glass.,2022->2023:1.0
H309,H,"2022,2023",2,1,0.9106,0.9106,0.9106,Know your ROBOT setup.,2022->2023:0.9106
H310,H,"2022,2023",2,1,0.8738,0.8738,0.8738,Know your DRIVETEAM positions,2022->2023:0.8738
H311,H,"2022,2023",2,1,0.8,0.8,0.8,Leave the GAME PIECES alone.,2022->2023:0.8
H312,H,"2022,2023",2,1,0.172,0.172,0.172,Leave promptly.,2022->2023:0.172
H401,H,"2022,2023",2,1,0.9004,0.9004,0.9004,Behind the lines.,2022->2023:0.9004
H402,H,"2022,2023",2,1,1.0,1.0,1.0,Disconnect or set down controllers.,2022->2023:1.0
H403,H,"2022,2023",2,1,0.8444,0.8444,0.8444,Let the ROBOT do its thing.,2022->2023:0.8444
H501,H,"2022,2023",2,1,1.0,1.0,1.0,COACHES and other teams: hands off the controls.,2022->2023:1.0
H502,H,"2022,2023",2,1,0.6667,0.6667,0.6667,No wandering.,2022->2023:0.6667
H503,H,"2022,2023",2,1,0.7179,0.7179,0.7179,"COACHES, GAME PIECES are off limits.",2022->2023:0.7179
H504,H,"2022,2023",2,1,0.5763,0.5763,0.5763,GAME PIECES through PORTALS only.,2022->2023:0.5763
H505,H,"2022,2023",2,1,0.1042,0.1042,0.1042,"DRIVE TEAMS, watch your reach.",2022->2023:0.1042
H506,H,"2022,2023",2,1,0.0833,0.0833,0.0833,"DRIVE TEAMS, avoid ROBOTS.",2022->2023:0.0833
I1,I,"2017,2018,2019,2020,2021",5,1,0.2183,0.7641,0.9834,The ROBOT and its MAJOR MECHANISMS must be built by the FIRST,2017->2018:0.9477;2018->2019:0.9072;2019->2020:0.2183;2020->2021:0.9834
I2,I,"2017,2018,2019,2020,2021",5,1,0.9597,0.9899,1.0,A team is only permitted to,2017->2018:1.0;2018->2019:1.0;2019->2020:0.9597;2020->2021:1.0
I3,I,"2017,2018,2019,2020,2021",5,1,0.4229,0.837,1.0,"At the time of Inspection, the OPERATOR CONSOLE and the ROBOT",2017->2018:0.9524;2018->2019:0.9727;2019->2020:0.4229;2020->2021:1.0
I4,I,"2017,2018,2019,2020,2021",5,1,0.0566,0.5968,0.9869,A ROBOT,2017->2018:0.0566;2018->2019:0.9835;2019->2020:0.3602;2020->2021:0.9869
I5,I,"2017,2018,2019,2020,2021",5,1,0.0377,0.4873,0.9934,. Teams may not use the re-Inspection process in I4 to circumvent the weight limit in,2017->2018:0.0377;2018->2019:0.8552;2019->2020:0.0628;2020->2021:0.9934
I6,I,"2017,2018,2019,2020,2021",5,1,0.0263,0.2896,0.0263,This rule has been removed for the 2021 season.,2017->2018:0.0323;2018->2019:0.9966;2019->2020:0.1033;2020->2021:0.0263
I7,I,"2017,2018,2019,2020,2021",5,1,0.0284,0.3677,0.9827,"For the safety of all those involved, ROBOTS, must be",2017->2018:0.0841;2018->2019:0.3757;2019->2020:0.0284;2020->2021:0.9827
I8,I,"2017,2020,2021",3,0,0.9714,0.9714,0.9714,At least one student team member must accompany the ROBOT for any,2017->2020:None;2020->2021:0.9714
I101,I,"2022,2023,2024,2025,2026",5,1,0.9713,0.9834,0.9829,It’s your team’s ROBOT.,2022->2023:0.9713;2023->2024:0.9897;2024->2025:0.9897;2025->2026:0.9829
I102,I,"2022,2023,2024,2025,2026",5,1,0.6601,0.9133,0.9933,Get inspected before playing a Qualification MATCH.,2022->2023:1.0;2023->2024:1.0;2024->2025:0.6601;2025->2026:0.9933
I103,I,"2022,2023,2024,2025,2026",5,1,0.9574,0.9893,0.9574,Bring it all to inspection.,2022->2023:1.0;2023->2024:1.0;2024->2025:1.0;2025->2026:0.9574
I104,I,"2022,2023,2024,2025,2026",5,1,0.9326,0.9831,1.0,"Unless the change is listed below, any change to a ROBOT must get re-inspected.",2022->2023:1.0;2023->2024:0.9326;2024->2025:1.0;2025->2026:1.0
I105,I,"2022,2023,2024,2025,2026",5,1,0.9948,0.998,0.9948,Don’t exploit re-inspection.,2022->2023:0.9974;2023->2024:1.0;2024->2025:1.0;2025->2026:0.9948
I106,I,"2022,2023,2024,2025,2026",5,1,1.0,1.0,1.0,ROBOTS are off for inspection (mostly).,2022->2023:1.0;2023->2024:1.0;2024->2025:1.0;2025->2026:1.0
I107,I,"2022,2023,2024,2025,2026",5,1,1.0,1.0,1.0,"No STUDENT, no inspection.",2022->2023:1.0;2023->2024:1.0;2024->2025:1.0;2025->2026:1.0
Q101,Q,"2024,2025,2026",3,1,0.4322,0.6919,0.4322,Head REFEREE Interactions.,2024->2025:0.9516;2025->2026:0.4322
R1,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.1013,0.7557,0.9467,"The ROBOT (excluding BUMPERS) must have a FRAME PERIMETER, contained within the",2015->2016:0.7411;2016->2017:0.1013;2017->2018:0.95;2018->2019:0.9534;2019->2020:0.8418;2020->2021:0.9467
R2,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.1118,0.578,1.0,"In the STARTING CONFIGURATION (the physical configuration in which a ROBOT starts a MATCH),",2015->2016:0.1118;2016->2017:0.2379;2017->2018:0.991;2018->2019:0.6;2019->2020:0.5275;2020->2021:1.0
R3,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.4022,0.6396,1.0,A ROBOT’S STARTING CONFIGURATION may not have a FRAME PERIMETER greater than 120,2015->2016:0.4545;2016->2017:0.4022;2017->2018:0.6272;2018->2019:0.4072;2019->2020:0.9467;2020->2021:1.0
R4,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.112,0.4237,0.8889,ROBOTS may not extend more than 12 in. (~30 cm) beyond their FRAME PERIMETER (see Figure,2015->2016:0.1319;2016->2017:0.1229;2017->2018:0.112;2018->2019:0.4167;2019->2020:0.8696;2020->2021:0.8889
R5,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.1231,0.4616,1.0,"The ROBOT weight must not exceed 125 lbs. (~56 kg). When determining weight, the basic ROBOT",2015->2016:0.1231;2016->2017:0.1571;2017->2018:0.1274;2018->2019:0.6792;2019->2020:0.6829;2020->2021:1.0
R6,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0462,0.2596,1.0,"Traction devices must not have surface features that could damage the ARENA (e.g. metal,",2015->2016:0.1296;2016->2017:0.1231;2017->2018:0.0462;2018->2019:0.1361;2019->2020:0.1224;2020->2021:1.0
R7,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0434,0.2311,1.0,Protrusions from the ROBOT and exposed surfaces on the ROBOT shall not pose hazards to the,2015->2016:0.1494;2016->2017:0.066;2017->2018:0.0434;2018->2019:0.0476;2019->2020:0.08;2020->2021:1.0
R8,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0326,0.2277,0.9759,"ROBOT parts shall not be made from hazardous materials, be unsafe, cause an unsafe condition, or",2015->2016:0.0326;2016->2017:0.1646;2017->2018:0.0713;2018->2019:0.043;2019->2020:0.0786;2020->2021:0.9759
R9,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0395,0.2003,0.8952,ROBOTS must allow removal of game pieces from the ROBOT and the ROBOT from FIELD,2015->2016:0.0588;2016->2017:0.0523;2017->2018:0.1096;2018->2019:0.0395;2019->2020:0.0461;2020->2021:0.8952
R10,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0896,0.3763,1.0,Lubricants may be used only to reduce friction within the ROBOT. Lubricants must not,2015->2016:0.0896;2016->2017:0.8077;2017->2018:0.1017;2018->2019:0.1096;2019->2020:0.1493;2020->2021:1.0
R11,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0069,0.2144,0.0069,This rule has been removed for the 2021 season.,2015->2016:0.0951;2016->2017:0.9766;2017->2018:0.1049;2018->2019:0.0686;2019->2020:0.034;2020->2021:0.0069
R12,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0858,0.3194,0.4934,"No individual, non-KOP item or software used on the ROBOT shall have a Fair Market Value that",2015->2016:0.138;2016->2017:0.9639;2017->2018:0.0858;2018->2019:0.1292;2019->2020:0.1061;2020->2021:0.4934
R13,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0163,0.2209,0.0163,This rule has been removed for the 2021 season.,2015->2016:0.099;2016->2017:0.9699;2017->2018:0.1194;2018->2019:0.091;2019->2020:0.03;2020->2021:0.0163
R14,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0078,0.2254,0.0078,This rule has been removed for the 2021 season.,2015->2016:0.0845;2016->2017:0.9682;2017->2018:0.1062;2018->2019:0.0937;2019->2020:0.0921;2020->2021:0.0078
R15,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0168,0.1295,0.0168,This rule has been removed for the 2021 season.,2015->2016:0.1288;2016->2017:0.3659;2017->2018:0.0781;2018->2019:0.0738;2019->2020:0.1135;2020->2021:0.0168
R16,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0624,0.1856,0.6503,During an event a team is attending (regardless of whether the team is physically at the event,2015->2016:0.0686;2016->2017:0.1245;2017->2018:0.1405;2018->2019:0.0624;2019->2020:0.0675;2020->2021:0.6503
R17,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0275,0.2453,0.9611,ROBOTS are required to use BUMPERS to protect all outside corners of the FRAME,2015->2016:0.0275;2016->2017:0.0833;2017->2018:0.1898;2018->2019:0.1333;2019->2020:0.0769;2020->2021:0.9611
R18,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0534,0.2496,1.0,"Except as allowed per G16, BUMPERS must be located entirely within the BUMPER ZONE,",2015->2016:0.0824;2016->2017:0.1053;2017->2018:0.0534;2018->2019:0.1667;2019->2020:0.0898;2020->2021:1.0
R19,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.041,0.2234,1.0,BUMPERS must not be articulated (relative to the FRAME PERIMETER).,2015->2016:0.0865;2016->2017:0.0982;2017->2018:0.0444;2018->2019:0.041;2019->2020:0.0702;2020->2021:1.0
R20,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0342,0.2472,1.0,"BUMPERS (the entire BUMPER, not just the cover) must be designed for quick and easy",2015->2016:0.0342;2016->2017:0.1295;2017->2018:0.1769;2018->2019:0.0875;2019->2020:0.0553;2020->2021:1.0
R21,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0311,0.1908,0.739,Each ROBOT must be able to display primarily Red or Blue BUMPERS to MATCH their,2015->2016:0.0311;2016->2017:0.0909;2017->2018:0.0565;2018->2019:0.1699;2019->2020:0.0577;2020->2021:0.739
R22,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0406,0.2214,0.9826,Team numbers must be displayed and positioned on the BUMPERS such that an observer,2015->2016:0.0674;2016->2017:0.082;2017->2018:0.0406;2018->2019:0.0579;2019->2020:0.0976;2020->2021:0.9826
R23,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0321,0.233,1.0,Each set of BUMPERS (including any fasteners and/or structures that attach them to the,2015->2016:0.1081;2016->2017:0.0848;2017->2018:0.0867;2018->2019:0.0321;2019->2020:0.0865;2020->2021:1.0
R24,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0478,0.2338,0.9312,BUMPERS must be constructed as follows (see Figure 9-7):,2015->2016:0.1654;2016->2017:0.12;2017->2018:0.0828;2018->2019:0.0478;2019->2020:0.0556;2020->2021:0.9312
R25,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0417,0.3419,0.8125,Corner joints between BUMPERS must be filled with pool noodle material. Examples of,2015->2016:0.0442;2016->2017:1.0;2017->2018:0.0727;2018->2019:0.0805;2019->2020:0.0417;2020->2021:0.8125
R26,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0727,0.243,0.94,BUMPERS must be supported by the structure/frame of the ROBOT (see Figure 9-9). To be,2015->2016:0.1081;2016->2017:0.1366;2017->2018:0.1151;2018->2019:0.0727;2019->2020:0.0854;2020->2021:0.94
R27,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0185,0.3268,0.9741,The only motors and actuators permitted on 2021 ROBOTS include the following (in any,2015->2016:0.0532;2016->2017:0.6794;2017->2018:0.1277;2018->2019:0.1081;2019->2020:0.0185;2020->2021:0.9741
R28,R,"2015,2017,2018,2019,2020,2021",6,0,0.0943,0.3212,1.0,"The integral mechanical and electrical system of any motor must not be modified. Motors, servos,",2015->2017:None;2017->2018:0.0955;2018->2019:0.0949;2019->2020:0.0943;2020->2021:1.0
R29,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.015,0.2111,0.9712,"With the exception of servos, fans, or motors integral to sensors of COTS computing devices",2015->2016:0.015;2016->2017:0.0866;2017->2018:0.0693;2018->2019:0.0909;2019->2020:0.0335;2020->2021:0.9712
R30,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0156,0.2013,0.9605,"Each power regulating device may control electrical loads per Table 9-2. Unless otherwise noted,",2015->2016:0.0604;2016->2017:0.0156;2017->2018:0.0688;2018->2019:0.0667;2019->2020:0.0357;2020->2021:0.9605
R31,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0432,0.2405,1.0,"Servos must be connected to, and only to, one of the following:",2015->2016:0.0432;2016->2017:0.0615;2017->2018:0.1692;2018->2019:0.0936;2019->2020:0.0757;2020->2021:1.0
R32,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.04,0.2149,1.0,"The only legal source of electrical energy for the ROBOT during the competition, the ROBOT",2015->2016:0.0476;2016->2017:0.04;2017->2018:0.0502;2018->2019:0.1037;2019->2020:0.0478;2020->2021:1.0
R33,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.047,0.2132,0.9128,COTS USB battery packs with a capacity of 100Wh or less (20000mAh at 5V) and 2.5 Amp max,2015->2016:0.087;2016->2017:0.0656;2017->2018:0.1143;2018->2019:0.047;2019->2020:0.0526;2020->2021:0.9128
R34,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0327,0.2249,1.0,Any battery charger used to charge a ROBOT battery must have the corresponding Anderson SB,2015->2016:0.0943;2016->2017:0.0492;2017->2018:0.0819;2018->2019:0.0912;2019->2020:0.0327;2020->2021:1.0
R35,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0505,0.2383,1.0,Any battery charger used to charge a ROBOT battery may not be used such that it exceeds 6-,2015->2016:0.0885;2016->2017:0.0505;2017->2018:0.0918;2018->2019:0.0511;2019->2020:0.1481;2020->2021:1.0
R36,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0282,0.219,1.0,"No batteries other than those allowed per R32 and R33 are allowed on the ROBOT, whether or",2015->2016:0.0595;2016->2017:0.0725;2017->2018:0.0615;2018->2019:0.0923;2019->2020:0.0282;2020->2021:1.0
R37,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0238,0.2156,1.0,The ROBOT battery must be secured such that it will not dislodge during vigorous ROBOT,2015->2016:0.0764;2016->2017:0.0636;2017->2018:0.0708;2018->2019:0.0588;2019->2020:0.0238;2020->2021:1.0
R38,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0321,0.2226,1.0,"Each electrical terminal on the ROBOT battery, main breaker, and their connections (lugs,",2015->2016:0.0738;2016->2017:0.0945;2017->2018:0.0321;2018->2019:0.033;2019->2020:0.102;2020->2021:1.0
R39,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0235,0.2289,0.95,"Non-electrical sources of energy used by the ROBOT, (i.e., stored at the start of a MATCH), shall",2015->2016:0.0235;2016->2017:0.0513;2017->2018:0.1513;2018->2019:0.065;2019->2020:0.1321;2020->2021:0.95
R40,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0392,0.2221,0.9623,"The one (1) ROBOT battery, a single pair of Anderson Power Products (or APP) 2-pole SB type",2015->2016:0.0392;2016->2017:0.0784;2017->2018:0.0714;2018->2019:0.0943;2019->2020:0.0873;2020->2021:0.9623
R41,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.033,0.3095,0.9811,"All circuits, with the exceptions of those listed in R46 and R48, must connect to, and have power",2015->2016:0.033;2016->2017:0.0351;2017->2018:0.2609;2018->2019:0.4615;2019->2020:0.0857;2020->2021:0.9811
R42,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0719,0.2488,0.9669,"All wiring and electrical devices, including all Control System COMPONENTS, shall be electrically",2015->2016:0.114;2016->2017:0.0952;2017->2018:0.1176;2018->2019:0.127;2019->2020:0.0719;2020->2021:0.9669
R43,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0857,0.2481,0.9524,The 120A circuit breaker must be quickly and safely accessible from the exterior of the ROBOT.,2015->2016:0.1333;2016->2017:0.1137;2017->2018:0.0952;2018->2019:0.0857;2019->2020:0.1085;2020->2021:0.9524
R44,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0645,0.2744,1.0,"The PDP, associated wiring, and all circuit breakers must be visible for Inspection.",2015->2016:0.1762;2016->2017:0.084;2017->2018:0.0645;2018->2019:0.1786;2019->2020:0.1429;2020->2021:1.0
R45,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0333,0.2338,1.0,Any active electrical item that is not an actuator (specified in R27) or core Control System item,2015->2016:0.0902;2016->2017:0.093;2017->2018:0.1085;2018->2019:0.0777;2019->2020:0.0333;2020->2021:1.0
R46,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0357,0.2217,0.9444,The roboRIO power input must be connected to the dedicated supply terminals on the PDP,2015->2016:0.1463;2016->2017:0.0597;2017->2018:0.0672;2018->2019:0.0766;2019->2020:0.0357;2020->2021:0.9444
R47,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0952,0.257,0.9568,The Wireless Bridge (Radio) power must be supplied directly by the 12V 2A output of a CTR,2015->2016:0.1304;2016->2017:0.0952;2017->2018:0.1053;2018->2019:0.1442;2019->2020:0.1103;2020->2021:0.9568
R48,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.053,0.2316,0.9362,The VRM supplying power to the Wireless Bridge per R47 must be connected to the designated,2015->2016:0.0678;2016->2017:0.053;2017->2018:0.0763;2018->2019:0.0706;2019->2020:0.1854;2020->2021:0.9362
R49,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0319,0.2389,1.0,Only one wire shall be connected to each WAGO connector on the PDP.,2015->2016:0.0794;2016->2017:0.0319;2017->2018:0.0342;2018->2019:0.1307;2019->2020:0.1571;2020->2021:1.0
R50,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0317,0.2346,1.0,The only circuit breakers permitted for use in the PDP are:,2015->2016:0.0317;2016->2017:0.0541;2017->2018:0.1091;2018->2019:0.1064;2019->2020:0.1062;2020->2021:1.0
R51,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0426,0.22,0.9184,The fuses in the PDP shall only be replaced with functionally identical fuses (mini automotive,2015->2016:0.0734;2016->2017:0.0897;2017->2018:0.0602;2018->2019:0.0426;2019->2020:0.1356;2020->2021:0.9184
R52,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0336,0.275,0.962,Each branch circuit must be protected by one and only one circuit breaker on the PDP per Table,2015->2016:0.0336;2016->2017:0.1022;2017->2018:0.4427;2018->2019:0.058;2019->2020:0.0513;2020->2021:0.962
R53,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0305,0.2144,0.9514,All circuits shall be wired with appropriately sized insulated copper wire (SIGNAL LEVEL cables,2015->2016:0.0305;2016->2017:0.0601;2017->2018:0.0849;2018->2019:0.1163;2019->2020:0.043;2020->2021:0.9514
R54,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0253,0.2614,1.0,"Branch circuits may include intermediate elements such as COTS connectors, splices, COTS",2015->2016:0.1151;2016->2017:0.0882;2017->2018:0.065;2018->2019:0.2748;2019->2020:0.0253;2020->2021:1.0
R55,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0299,0.2234,0.9615,"All non-SIGNAL LEVEL wiring with a constant polarity (i.e., except for outputs of relay modules,",2015->2016:0.0978;2016->2017:0.0299;2017->2018:0.099;2018->2019:0.0606;2019->2020:0.0914;2020->2021:0.9615
R56,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0725,0.2411,1.0,"CUSTOM CIRCUITS shall not directly alter the power pathways between the ROBOT battery,",2015->2016:0.0769;2016->2017:0.0725;2017->2018:0.0976;2018->2019:0.0917;2019->2020:0.1079;2020->2021:1.0
R57,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0376,0.2091,0.9322,ROBOTS must be controlled via one (1) programmable National Instruments roboRIO (P/N:,2015->2016:0.0536;2016->2017:0.0476;2017->2018:0.0376;2018->2019:0.1379;2019->2020:0.0455;2020->2021:0.9322
R58,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0245,0.2321,1.0,"One (1) OpenMesh Wireless Bridge (P/N: OM5P-AN or OM5P-AC), that has been configured with",2015->2016:0.1221;2016->2017:0.0769;2017->2018:0.0245;2018->2019:0.0516;2019->2020:0.1176;2020->2021:1.0
R59,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0625,0.2584,1.0,The roboRIO Ethernet PORT must be connected to the Wireless Bridge PORT labeled “18-24,2015->2016:0.0761;2016->2017:0.1094;2017->2018:0.2153;2018->2019:0.0625;2019->2020:0.0873;2020->2021:1.0
R60,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0287,0.2128,0.9841,Communication between the ROBOT and the OPERATOR CONSOLE is restricted as follows:,2015->2016:0.0816;2016->2017:0.0896;2017->2018:0.0287;2018->2019:0.0306;2019->2020:0.0622;2020->2021:0.9841
R61,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0148,0.2379,0.9667,"The roboRIO, Driver Station software, and Wireless Bridge must be configured to correspond to",2015->2016:0.2045;2016->2017:0.1149;2017->2018:0.0629;2018->2019:0.0148;2019->2020:0.0635;2020->2021:0.9667
R62,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0367,0.1968,0.8261,All signals must originate from the OPERATOR CONSOLE and be transmitted to the ROBOT via,2015->2016:0.0429;2016->2017:0.0968;2017->2018:0.0367;2018->2019:0.0794;2019->2020:0.0992;2020->2021:0.8261
R63,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0602,0.2379,1.0,"No form of wireless communication shall be used to communicate to, from, or within the ROBOT,",2015->2016:0.0968;2016->2017:0.0843;2017->2018:0.0602;2018->2019:0.0893;2019->2020:0.0968;2020->2021:1.0
R64,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0923,0.2805,1.0,The Wireless Bridge must be mounted on the ROBOT such that the diagnostic lights are visible to,2015->2016:0.0923;2016->2017:0.1538;2017->2018:0.1481;2018->2019:0.1837;2019->2020:0.1053;2020->2021:1.0
R65,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0537,0.2229,0.9366,"ROBOTS must use at least one (1), but no more than two (2), diagnostic ROBOT Signal Lights",2015->2016:0.0878;2016->2017:0.0537;2017->2018:0.0639;2018->2019:0.1017;2019->2020:0.094;2020->2021:0.9366
R66,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0506,0.2165,0.9806,"The Driver Station software, roboRIO, Power Distribution Panel, Pneumatics Control Modules,",2015->2016:0.0548;2016->2017:0.0506;2017->2018:0.083;2018->2019:0.0645;2019->2020:0.0657;2020->2021:0.9806
R67,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0441,0.2603,1.0,Neither 12VDC power nor relay module or motor controller outputs shall be directly connected to,2015->2016:0.0522;2016->2017:0.1818;2017->2018:0.2041;2018->2019:0.0794;2019->2020:0.0441;2020->2021:1.0
R68,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0964,0.271,1.0,"Every relay module (per R29-B), servo controller, and PWM motor controller shall be connected",2015->2016:0.0964;2016->2017:0.1085;2017->2018:0.1099;2018->2019:0.2041;2019->2020:0.1071;2020->2021:1.0
R69,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0583,0.2446,0.9791,"If a motor is controlled via the MXP, its power regulating device must be connected by one of the",2015->2016:0.0989;2016->2017:0.0783;2017->2018:0.1429;2018->2019:0.1099;2019->2020:0.0583;2020->2021:0.9791
R70,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0559,0.2588,1.0,Each CAN motor controller must be controlled with signal inputs sourced from the roboRIO and,2015->2016:0.1229;2016->2017:0.0784;2017->2018:0.1528;2018->2019:0.1429;2019->2020:0.0559;2020->2021:1.0
R71,R,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0487,0.2551,1.0,Each PCM must be controlled with signal inputs sourced from the roboRIO and passed via a,2015->2016:0.1412;2016->2017:0.0759;2017->2018:0.0487;2018->2019:0.1538;2019->2020:0.1111;2020->2021:1.0
